member_id,first_name,last_name,dob,gender,phone,email,zip5,plan_id
108516,Carlos,Johnson,23 Jun 2010,M,5557042602,carlos@sample_email.com,90394,PLN100
150998,Sara,Lopez,2013-12-14,F,555-377-5926,sara@sample_email.com,46715,PLN200
353885,Jane,Brown,1995-11-06,f,5553026847,jane@sample_email.com,57892,
110503,Alex,Singh,04/02/2041,MALE,5555735152,alex@sample_email.com,72252,PLN300
871102,Ravi,Patel,1957-01-30,Female,5555709096,ravi@sample_email.com,46284,PLN100
376686,Linda,Lopez,13 Aug 1987,male,5553748590,linda@sample_email.com, 09043 ,
749612,Linda,Garcia,08 Jun 1981,M,5558455135,linda@sample_email.com,46767,
224063,Alex,Singh,24 May 2029,Female,(555) 512-8988,alex@sample_email.com,98392,PLN300
745552,Chris,Garcia,1994-04-04,f,555-683-5010,chris@sample_email.com,50163,PLN300
793361,Maria,Singh,2029-01-01,F,(555) 661-9390,maria@sample_email.com, 73177 ,
384765,Sara,Brown,2009-03-21,M,(555) 445-8157,sara@sample_email.com,84025,
756231,,Lopez,2001-10-24,Female,(555) 328-4544,unknown@sample_email.com,73425,PLN300
595973,Maria,Brown,02 Mar 1979,male,5559834977,maria@sample_email.com,95724,PLN200
785419,Tom,Singh,30 Mar 1992,f,555-833-4355,tom@sample_email.com,56041,PLN300
654303,Ravi,Wang,07/09/2002,Female,555-911-4428,ravi@sample_email.com, 51755 ,
742864,Ravi,Kim,31 Oct 2049,F,(555) 709-8378,ravi@sample_email.com,46402,
"",Ravi,Davis,06/05/2017,f,5556492607,ravi@sample_email.com,21457,PLN100
318016,Maria,Das,06 Nov 2001,M,(555) 120-8356,maria@sample_email.com,62019,
555100,Priya,Smith,12/01/2001,Female,5552858917,priya@sample_email.com,45135,PLN300
787749,Omar,Davis,1975-11-03,MALE,(555) 644-1592,omar@sample_email.com,22803,
367335,Sara,,12/14/1980,M,5551873438,sara@sample_email.com,92498,
413733,Alex,Das,2001-05-30,f,(555) 853-9286,alex@sample_email.com,48252,PLN200
865181,Ravi,Das,02 Oct 2002,F,5556502047,ravi@sample_email.com, 23253 ,
928224,Sara,Johnson,1997-07-25,F,5552531304,sara@sample_email.com,72652,
944935,Tom,Johnson,08 Oct 1971,f,555-361-2070,tom@sample_email.com, 13515 ,PLN300
649875,Sara,Das,12 Jun 2017,MALE,5557574457,sara@sample_email.com,31473,PLN100
848603,Chris,Khan,20 Dec 2020,male,(555) 232-8964,chris@sample_email.com,18779,
501355,Wei,Khan,12 Oct 1987,Female,555-820-7883,wei@sample_email.com,47939,
135556,Maria,Brown,14 Jun 2045,Female,(555) 461-1660,maria@sample_email.com,48112,PLN200
769105,,Lopez,10/14/2043,F,555-655-2552,unknown@sample_email.com,80051,PLN200
696324,Alex,Singh,08/27/2053,MALE,5552369393,alex@sample_email.com,32431,
450216,Linda,Davis,1991-04-07,F,(555) 154-5627,linda@sample_email.com,97799,
"",Carlos,Kim,2020-08-08,Female,555-196-5045,carlos@sample_email.com, 28512 ,
158886,Linda,Lopez,09 Jan 2006,male,(555) 812-8797,linda@sample_email.com,92786,
733510,Maria,Patel,18 Apr 2001,f,555-480-2246,maria@sample_email.com,24496,
641765,Maria,Kim,02 Mar 2027,f,5556618522,maria@sample_email.com,03761,PLN100
643395,Carlos,Garcia,12/31/2019,male,555-578-3128,carlos@sample_email.com,02706,PLN200
502702,Carlos,Garcia,10/11/2025,M,(555) 885-5657,carlos@sample_email.com,81441,
448395,Alex,Singh,15 Apr 2047,MALE,(555) 714-5609,alex@sample_email.com,22893,PLN200
692396,Jane,Brown,12/13/2005,f,5557269387,jane@sample_email.com,34806,PLN200
841835,Carlos,Kim,09/29/2022,F,(555) 722-8508,carlos@sample_email.com, 87469 ,
572620,Maria,Kim,29 Jul 1976,M,(555) 621-8757,maria@sample_email.com,44811,PLN200
764369,Carlos,Garcia,2035-02-17,Female,555-508-9394,carlos@sample_email.com,86197,PLN200
612282,Alex,Das,06/03/1970,MALE,5551524840,alex@sample_email.com, 26163 ,PLN200
339943,Nina,Brown,05/29/2024,Female,(555) 378-7860,nina@sample_email.com,56342,
859463,,Davis,1969-10-20,F,(555) 220-2142,unknown@sample_email.com,75809,PLN200
802065,Chris,Johnson,1991-01-06,Female,5556246451,chris@sample_email.com,63714,PLN300
860892,Chris,Lee,2000-12-02,MALE,5554043119,chris@sample_email.com,98318,
714927,Alex,Patel,1997-04-22,male,555-304-9951,alex@sample_email.com,54224,PLN300
147567,Nina,Brown,03/18/2028,M,5555809670,nina@sample_email.com,20864,
963427,Linda,Davis,11 Jul 2003,male,555-340-3439,linda@sample_email.com,43427,
729262,,Brown,02/13/2043,male,555-379-1770,unknown@sample_email.com,38381,PLN300
"","","","","","","","","","",,""
758254,Sara,Lopez,2015-09-03,f,555-225-3612,sara@sample_email.com,52964,PLN300
518047,Nina,Lopez,01 Feb 1970,f,(555) 349-5769,nina@sample_email.com,84052,PLN300
757573,Nina,Khan,08/05/1995,F,(555) 439-1160,nina@sample_email.com,64902,
