member_id,first_name,last_name,dob,gender,phone,email,zip5,plan_id
337168,Maria,Brown,09 Apr 2002,f,5553861659,maria@sample_email.com,08814,PLN100
731125,Sara,Garcia,2003-10-15,MALE,(555) 292-7301,sara@sample_email.com,88989,
463250,Jane,Johnson,01/24/2007,F,5551407367,jane@sample_email.com,95639,PLN100
714643,Priya,Das,2004-02-18,F,555-674-4660,priya@sample_email.com,61601,
244623,Linda,Lee,06/24/2009,male,555-856-5065,linda@sample_email.com,59829,
847621,Jane,Kim,2002-07-11,f,(555) 903-4121,jane@sample_email.com,28917,PLN200
180539,John,Brown,05/18/1975,MALE,5551629130,john@sample_email.com,56304,
385597,Sara,Davis,10/16/2004,male,5556343523,sara@sample_email.com,22396,
350475,Priya,,15 Jan 1991,f,(555) 382-5181,priya@sample_email.com,85405,PLN100
149652,Nina,Kim,10/20/1996,F,5556647341,nina@sample_email.com,87384,PLN100
918909,,Khan,12 Apr 1980,MALE,(555) 780-3031,unknown@sample_email.com,14885,PLN300
968483,Sara,Johnson,2000-01-02,MALE,555-610-3394,sara@sample_email.com,73722,
512933,Jane,Das,17 Dec 1980,M,(555) 424-4487,jane@sample_email.com,14782,PLN300
551934,Carlos,Patel,1981-06-29,MALE,555-143-3216,carlos@sample_email.com, 17672 ,PLN300
734618,John,Wang,1992-10-08,MALE,555-789-2692,john@sample_email.com,96752,
310744,Jane,Brown,27 May 2040,Female,555-877-8741,jane@sample_email.com,95370,
432029,,Khan,15 Apr 1984,MALE,(555) 206-9598,unknown@sample_email.com,94336,PLN100
596321,Priya,Lee,1974-03-16,MALE,5555363352,priya@sample_email.com,33724,PLN200
562071,Nina,Singh,10 Aug 1991,F,5555778376,nina@sample_email.com,46060,PLN200
282857,Omar,Kim,1993-07-02,male,555-296-3201,omar@sample_email.com,63929,
903129,Wei,Johnson,2005-02-25,F,(555) 918-1324,wei@sample_email.com,61896,PLN100
910839,Nina,Lopez,06/25/2004,Female,(555) 173-4898,nina@sample_email.com,64509,
109411,John,Smith,10 Mar 2040,f,(555) 608-2182,john@sample_email.com,06957,PLN100
441800,Omar,Kim,1977-06-23,F,555-291-5410,omar@sample_email.com,32979,PLN200
621221,Carlos,Patel,2046-07-04,F,(555) 380-7062,carlos@sample_email.com,26179,
861254,Jane,Lopez,07/26/2030,M,5559769474,jane@sample_email.com,40259,PLN200
,John,Wang,08 Jun 2014,M,(555) 812-2457,john@sample_email.com,56807,
931654,Ravi,Brown,08 Mar 1984,MALE,(555) 471-7490,ravi@sample_email.com,79633,
725051,Omar,Brown,2030-07-14,f,555-561-1664,omar@sample_email.com, 29583 ,PLN300
920812,Nina,Das,07/28/1972,F,(555) 782-5075,nina@sample_email.com,72246,PLN300
716708,Alex,Lopez,03 Feb 2002,M,555-799-6013,alex@sample_email.com,10728,PLN100
890600,Ravi,Lopez,11 Apr 2007,male,555-801-1747,ravi@sample_email.com,22492,PLN200
609006,Omar,Wang,1973-07-10,M,(555) 988-5022,omar@sample_email.com,47912,
909213,Chris,Lopez,03 Jul 2005,F,555-379-8767,chris@sample_email.com, 81735 ,PLN200
273862,Priya,Smith,09 Apr 2003,Female,555-726-6602,priya@sample_email.com,55270,PLN100
503714,Priya,Davis,29 Jan 2030,Female,5559772167,priya@sample_email.com,03134,
130231,John,,30 Jun 2032,Female,(555) 945-5421,john@sample_email.com,17151,PLN200
214397,Ravi,Singh,01 Apr 2020,f,555-862-8546,ravi@sample_email.com,96907,
294653,John,Khan,11/13/2008,male,555-490-4053,john@sample_email.com,70522,PLN100
344644,,Lee,18 Jan 1987,male,5554046515,unknown@sample_email.com,77636,PLN300
254573,Sara,Brown,02 Feb 2016,MALE,(555) 188-4390,sara@sample_email.com,96482,PLN200
201977,Jane,Johnson,2008-11-06,MALE,5559585727,jane@sample_email.com,33366,PLN200
834887,Sara,Khan,2009-07-10,male,5555555323,sara@sample_email.com,70968,PLN100
594792,John,Singh,04 May 2034,f,5551952683,john@sample_email.com,25820,PLN300
382382,Linda,Johnson,2041-08-31,male,555-999-1558,linda@sample_email.com,81675,
745073,Sara,Garcia,02 May 2040,F,(555) 344-2071,sara@sample_email.com,86986,
"",Priya,Wang,12 May 1951,MALE,5555074042,priya@sample_email.com, 95395 ,PLN300
599167,John,Kim,1987-05-10,Female,555-943-3789,john@sample_email.com,28377,PLN300
