member_id,first_name,last_name,dob,gender,phone,email,zip5,plan_id
439495,Linda,Singh,03 Apr 1981,MALE,5557093314,linda@sample_email.com,55094,
298144,Omar,Lopez,08/30/1966,F,5556583637,omar@sample_email.com,94049,PLN100
401994,Alex,Das,08/17/1990,M,555-267-1652,alex@sample_email.com,43102,PLN300
184500,Linda,Johnson,02/10/2022,f,5559083978,linda@sample_email.com,35889,PLN100
872621,Nina,Davis,07 Dec 2038,MALE,(555) 737-8531,nina@sample_email.com,81786,PLN300
510305,Priya,Kim,10 Apr 1966,f,5554173138,priya@sample_email.com,91833,
119143,Priya,Brown,2005-09-10,Female,(555) 785-4784,priya@sample_email.com,53484,PLN300
168247,Alex,Brown,2009-07-10,f,5556839963,alex@sample_email.com,30016,PLN200
931257,Sara,Lee,1985-08-08,MALE,5551066556,sara@sample_email.com,66492,PLN300
134734,,Lopez,11/16/2006,f,(555) 774-9149,unknown@sample_email.com,54525,
421135,Nina,Patel,1997-07-30,F,(555) 681-1563,nina@sample_email.com,95202,
abcd,Maria,Smith,04/05/1998,f,(555) 795-4340,maria@sample_email.com,85663,
"",Alex,Singh,03/31/1955,F,555-390-7312,alex@sample_email.com,58348,PLN100
181334,Tom,Khan,1986-08-07,f,555-265-8117,tom@sample_email.com,90348,PLN200
949319,Maria,Singh,16 Nov 2001,M,555-450-8809,maria@sample_email.com, 28710 ,
207407,Linda,Lee,30 Jun 1962,f,(555) 967-1914,linda@sample_email.com,72066,
578077,Chris,Smith,1991-11-13,F,5558501315,chris@sample_email.com,62538,
366208,Nina,Wang,24 Aug 2043,F,5555748044,nina@sample_email.com,50304,
703554,Tom,Patel,06/08/2007,male,5554437719,tom@sample_email.com,59575,PLN200
200063,Sara,Smith,05/03/2006,F,(555) 626-8509,sara@sample_email.com,47489,PLN100
477427,Jane,Lopez,1985-01-30,F,5552269270,jane@sample_email.com,85589,
848911,Priya,Johnson,14 Jul 1993,male,(555) 619-1696,priya@sample_email.com,54711,PLN200
871886,Sara,Wang,1990-10-19,F,555-123-3938,sara@sample_email.com,81661,PLN300
545224,Jane,Singh,11/25/1967,F,5558559432,jane@sample_email.com,38751,PLN300
621821,John,Das,13 May 1959,Female,5555936527,john@sample_email.com, 28545 ,PLN100
738793,Linda,Brown,2002-04-13,f,5552504564,linda@sample_email.com,95137,PLN300
199049,John,Singh,10/29/2040,MALE,555-431-5934,john@sample_email.com,74602,PLN300
461184,Alex,Brown,01/01/2008,male,5554825075,alex@sample_email.com,77706,PLN100
574863,Chris,Garcia,08 Sep 1973,F,5558589964,chris@sample_email.com,45056,PLN200
837441,Maria,Davis,06/02/1998,M,5553766875,maria@sample_email.com,06280,
"",Sara,Smith,04/03/2010,F,555-936-1178,sara@sample_email.com,30890,PLN300
925210,Alex,Patel,11 Aug 1995,F,555-360-3364,alex@sample_email.com,34141,PLN200
597068,Jane,Kim,1982-08-04,F,(555) 540-1952,jane@sample_email.com, 79498 ,
709708,Jane,Das,01/27/2004,f,555-356-4515,jane@sample_email.com,93673,PLN300
171668,John,Lee,07 Nov 2029,MALE,5552722507,john@sample_email.com, 82217 ,PLN300
710876,Carlos,Davis,11 Mar 2021,f,5554999631,carlos@sample_email.com,77016,PLN200
778597,Nina,Brown,09/02/2027,M,555-356-8607,nina@sample_email.com, 44213 ,PLN100
465588,Linda,Khan,04 Jan 1981,male,(555) 697-7971,linda@sample_email.com,42411,
506884,Priya,Wang,10 Oct 2032,male,5551654444,priya@sample_email.com, 97266 ,PLN100
874471,Omar,,01/22/2009,f,(555) 700-5738,omar@sample_email.com,35534,
